kecamatan,nama_lembaga_pkbm,npsn_lembaga,alamat,,
Kembangan,PKBM Wiyata Utama,P9908863,Jl.Kembangan Utara No.25 Rt.09,,
Jatinegara,PKBM Warga Mandiri,P9908847,Lapas Klas I Cipinang ,,
Tambora,PKBM Pangeran Jayakarta,P9908846,Jl.Angke Jaya Raya Rt.07/03 No.10,,
Cengkareng,PKBM Kaiyisah Smart Informatika,P9908845,Jl.Fajar Baru II No.2 Rt.03/08,,
Grogol Petamburan,PKBM Tunas Delima,P9908844,Jl.Delima V No.25 Kel.Tanjung Duren Selatan,,
Tanjung Priok,PKBM Wahyu Aji Andadari,P9908832,Jl.Gadang No.03-05,,
Penjaringan,PKBM Hope For Generation,P9908831,Jl.Puri Niaga Grisenda F2/5 ,,
Kebayoran Baru,PKBM Ganesa Study,P9908829,JL.Cikajang,,
Tambora,PKBM Bhakti Utama,P9908828,Krendang Selatan No.18A,,
Kembangan,PKBM Amari,P9908827,Jl.H.Saaba Rt.08/03 No.5,,
Kalideres,PKBM Yapansa,P9908826,Jl.Raya Kamal No.2 Rt.2/1,,
Cengkareng,PKBM Perguruan Rakyat,P9908824,Jl.Bhakti Rt.10 Rw.013 No.47 Pedongkelan,,
Kepulauan Seribu,PKBM Negeri 37 Pulau Untung Jawa,P9908823,Pulau Untung Jawa,,
Kebon Jeruk,PKBM Biru Bangsa,P9908822,Jl.Kampung Baru Rt.05/05 No.401,,
Kelapa Gading,PKBM HS Tuna Karya Bangsa,P9908807,Jl.Kelapa Molek VI Blok 52,,
Kemayoran,PKBM Global Mandiri,P9908733,Jl.Bendungan Jago No.3A Rt.07/01 Utan Panjang,,
Johar Baru,PKBM Bintang Bangsa,P9908732,Jl.Rawa Tengah No.1 Rt.13/05 Kel.Galu,,
Kebon Jeruk,PKBM Cita Kasih Bangsa,P9908730,Jl.Pejuangan No.6E-H,,
Kebayoran Lama,PKBM Edukasi Jakarta,P9908726,Kl.Peninggran Timur IINo.02 Kebayoran,,
Penjaringan,PKBM Cherish Academy,P9908718,Muara Karang Blok A2 Utara No.169,,
Kebon Jeruk,PKBM Irpa Darojat,P9908716,Jl.Kebunn Jeruk Rt.007/01,,
Kembangan,PKBM Sinar Padian,P9908714,Jl.Lapangan Bola Srengseng No.17,,
Jatinegara,PKBM Khalifah,P9908202,l.Cipinang Lontar No.02,,
Jatinegara,PKBM Pandu Pelajar Mandiri,P9908201,Jl.Raya Bekasi Timur No.170A Lapas Klas IIA,,
Tambora,PKBM Kali Baru,P9908200,Jl.Kali Anyar V/8,,
Pal Merah,PKBM Budi Daya,P9908199,Jl.Palmerah Utara II Rt.02/05,,
Kembangan,PKBM PATMOS,P9908198,Jl.Taman Meruya Ilir Blok E-7,,
Kembangan,PKBM Harapan Bunda,P9908195,Jl.Swadarma Raya Rt.007/03 No.17,,
Kebon Jeruk,PKBM Sila Kenanga,P9908192,Kp.Bali No.41 Rt.010/05,,
Kalideres,PKBM Mitra Edukasi,P9908191,Jl.Semanan Raya Kp.Lamporan Rt.07/08,,
Kalideres,PKBM Bina Insani Jaya,P9908190,Jl.Peta UtaraNo.20 Rt.06/02,,
Cengkareng,PKBM Karya Sabil,P9908188,Jl.Klingkit No.01 Rt.02/012,,
Cengkareng,PKBM Karya Ummat,P9908187,Perum Interkota Indah Blok B2/27,,
Pal Merah,PKBM Malacca,P2970329,Jl.Kota Bambu Selatan V No.68D,,
Grogol Petamburan,PKBM Negeri 24 Tomang,P2969409,Jl.Rawa Kepa XIII No.1,,
Kembangan,PKBM Negeri 06 Meruya Utara,P2969301,Jl.Meruya Utara Jalur 20,,
Kalideres,PKBM Kasih Anugerah,P2968441,Jl.Pelopor Blok P1 No.10 Rt.004/05,,
Kepulauan Seribu,PKBM Negeri 36 Pulau Harapan,P2967957,Pulau Harapan Rt.03/03,,
Kebon Jeruk,PKBM 30 Duri Kepa,P2967896,Jl.Duri Kencana Timur,,
Kalideres,PKBM Perdana,P2967370,Jl.Kebon Kelapa Rt.08/01,,
Cengkareng,PKBM Anak Bangsa Indonesia,P2967369,Carina Sayang Blok N.No.8 Rt.001/010,,
Kebon Jeruk,PKBM Citra Binar Rahma,P2967368,Jl.Kebon Raya IV/66B,,
Kebon Jeruk,PKBM Cinta Anak Bangsa,P2967367,Jl.Duta Buntu Blok B Rt.001/007 No.52,,
Kalideres,PKBM Baitmidwan,P2967366,Jl.Prepedan Raya No.53,,
Kalideres,PKBM Negeri 19 Pegdungan,P2967365,Jl.Peta Utara Raya No.31,,
Kalideres,PKBM Negeri 19 Pegadungan,P2967365,Jl.Peta Utara Raya No.31,,
Cengkareng,PKBM YP.Cengkareng,P2967363,Jl.Bambu Larangan,,
Cengkareng,PKBM Duta Bangsa,P2967362,Jl.Raya Kapuk Gg.Masjid No.71,,
Cengkareng,PKBM Al-Mukhilisin,P2967361,Jl.Kayu Besar Rt.004/011,,
Pal Merah,PKBM Harapan,P2967360,Jl.Kota Bambu Utara II Rt.07/04,,
Kebon Jeruk,PKBM Negeri 38 Kebon Jeruk,P2967314,Jl.Kebon Jeruk No.39 F,,
Kebon Jeruk,PKBM Bina Bangsa,P2967313,Jl.GG.Pramuka Batu Sari,,
Cipayung,PKBM Arafah,P2967218,Jl.Raya Cilangkap No.3,,
Pasar Rebo,PKBM Fortuna,P2967213,Jl.Madrasah No.6 Rt.08/09 Pekayon Kec.Pasar Rebo,,
Makasar,PKBM Bina Madya,P2967211,Jl.Pangkalan Jati IV No.47,,
Makasar,PKBM Negeri 28 Makasar,P2967209,Jl.Jengki No.11,,
Makasar,PKBM Negeri 22 Makasar,P2967208,Jl.PLK II No.24,,
Pulau Gadung,PKBM Miftahul Janah,P2967207,Jl.Pisangan Lama III/2 B ,,
Pulau Gadung,PKBM Negeri 13 Cipinang,P2967206,Jl.Pisangan Baru III/15,,
Jatinegara,PKBM Asah Asih Asuh,P2967205,Jl.Pembina I No.2,,
Matraman,PKBM Harmonis,P2967203,Jl.Kebon Kelapa No.33,,
Duren Sawit,PKBM Negeri 33 Malaka,P2967201,Jl.Teratai Putih IRt.014/05,,
Duren Sawit,PKBM Negeri 14 Klender,P2967200,Jl.Balai Rakyat No.53Rt.08/01,,
Ciracas,PKBM LP Rilfa,P2967198,Jl.Makmur IV No.14,,
Kramat Jati,PKBM Citra Nusa Bangsa,P2967195,Jl.H.Ali No.44,,
Kramat Jati,PKBM KAPCI Sukses,P2967194,Jl.Dukuh V No.1A,,
Duren Sawit,PKBM Cipta Karya Intelektual,P2967193,Jl.Raden Inten II No.1,,
Ciracas,PKBM Prima Indo,P2967191,Darulsalam No.49,,
Cipayung,PKBM Riskyta,P2967190,Jl.Raya Mabes Hamkam Rt.007/02 No.9,,
Cipayung,PKBM Salsabilah,P2967189,Jl.Sepakat V ,,
Ciracas,PKBM Asia,P2967188,Jl.H.Bain,,
Cakung,PKBM Ajisaka,P2967187,Raya Bekasi Km 17 66 Rh Ismail Kp.Lio,,
Duren Sawit,PKBM Awaliyah Rohim,P2967186,Pertanian Tengah,,
Kramat Jati,PKBM As-Syifa,P2967185,Jl.Raya Bogor KM 20,,
Jatinegara,PKBM Paksi Safa Kawijayan,P2967184,Cipinang Pulo Maja No.28,,
Pulau Gadung,PKBM Faradika,P2967183,Jl.Cipinang Kebemben V No.32,,
Cipayung,PKBM Al-Fatah,P2967182,Jl.Gorda,,
Duren Sawit,PKBM Amanah,P2967181,Jl.Delima III Blok kompleks Masjid Hifzul Amanah,,
Jatinegara,PKBM Jatinegara,P2967180,J;.Kesadran INo.54,,
Cakung,PKBM Alfha Omega,P2967177,Jl.P.Komarudin Timur,,
Jatinegera,PKBM Bunga Pala,P2967176,Jl.Kebon Pala I Tanah RenahRt.009/07,,
Cipayung,PKBM Negeri 34 Cipayung,P2967175,Jl.SMA 64,,
Cipayung,PKBM Santika,P2967174,Jl.Bambu Wulung No.12,,
Jatinegara,PKBM Pemuda Creative Prima,P2967173,Jl.DI Panjaitan Gg.Remaja III,,
Ciracas,PKBM Teladan,P2967172,Jl.Madrasah No.53,,
Jatinegara,PKBM Fizar,P2967171,Wedana Dalam,,
Kramat Jati,PKBM Akur Kurnia,P2967170,Jl.Pedati No.24,,
Kramat Jati,PKBM Al-Amin,P2967061,Jl.Batu Tumbuh No.67 Rt.01/06,,
Cakung,PKBM Putra Kusuma,P2967043,Manunggal Juang I,,
Pasar Rebo,PKBM Rambutan,P2967042,Rambutan,,
Kramat Jati,PKBM Negeri 12 Kp.Tengah,P2966872,Jl.Merpati I No.1A,,
Penjaringan,PKBM Teratai,P2966773,Jl.Kapuk Muara,,
Jagakarsa,PKBM Widyaiswara,P2966661,Jl.Timul I No.53,,
Jagakarsa,PKBM Negeri 35 Jagakarsa,P2966660,Jl.Kebagusan,,
Kebayoran Baru,PKBM Sukses ,P2966659,Jl.Kyai Maja No.6,,
Pasar Minggu,PKBM Bina Akasara,P2966657,Jl.Pertanian III No.35,,
Mampang Prapatan ,PKBM Al-Hikmah,P2966655,Jl.Bangka II No.24,,
Mampang Prapatan ,PKBM As-Samawat,P2966654,Jl.Bangka III No.6,,
Mampang Prapatan ,PKBm 31 Bangka,P2966652,Jl.Kemang Timur I No.03,,
Pasanggrahan,PKBM Harapan Bangsa,P2966651,Jl.Duku No.05,,
Pasanggrahan,PKBM Negeri 26 Bintaro,P2966649,Jl.Bintaro Permai III/308,,
Pasanggrahan,PKBM 27 Petukangan  Selatan,P2966648,Jl.Kemajuan No.29,,
Kebayoran Lama,PKBM Setia Mandiri,P2966647,Jl.Ciputat Raya No. 12,,
Kebayoran Lama,PKBM Mutiara Indonesia,P2966643,Jl.Praja Dalam No.3,,
Cilandak,PKBM Ganesha Education,P2966641,Jl.RA.Kartini No.1,,
Cilandak,PKBM 09 Cilandak,P2966639,Jl.Caringin Utara,,
Cilandak,PKBM Pola Sejahtera,P2966638,Jl.Bango IINo.58,,
Cilandak,PKBM Darussalam,P2966636,Jl.H.Ipin No.10,,
Cilandak,PKBM Kinarya Daya Adi,P2966635,Tridharma Utama 1/12,,
Cilandak,PKBM Medium,P2966634,Pondok Labu,,
Cilandak,PKBM Candradi Muka sns,P2966631,Maritim No.3,,
Kebayoran Baru,PKBM Kramat Pela,P2966629,Jl.Gandaria Tengah 2 No.8,,
Kebayoran Baru,PKBM Amarvi School,P2966627,Jl.Cikatomas I No.33,,
Kebayoran Baru,PKBM Sejahtera,P2966626,Jl.Sawo III No.44,,
Cilandak,PKBM Merah Putih,P2966625,Jl.Kamboja No.6-8,,
Kebayoran Baru,PKBM Sejahtera,P2966623,Jl.Radio Dalam Antene V,,
Pancoran,PKBM Qolbu,P2966622,Jl.Pengadegan Timur,,
Pancoran,PKBM Kalibata,P2966620,Jl.Kalibata Timur IV-D,,
Pancoran,PKBM Cahaya Saraswati,P2966619,Jl.Rawa Jayi Timur II No.30,,
Setiabudi ,PKBM Hasanah,P2966617,Jl.Karet Karya II No.28,,
Setiabudi ,PKBM 25 Kuningan,P2966616,Jl.Mega Kuningan Barat III/1,,
Setiabudi ,PKBM Negeri 10 Gutur,P2966615,Jl.Slamet No.2,,
Tebet ,PKBM 24 Tebet Timur,P2966612,Jl. Tebet Timur Dalam III/3,,
Tebet ,PKBM Tjiliwoeng,P2966611,Jl.Manggarai Utara II/17,,
Tebet ,PKBM 11 Manggarai,P2966608,Jl.Lapangan Menara Air III/46,,
Tebet ,PKBM Syarif Hidayatullah,P2966607,Jl.Lapangan Ros Barat No.33,,
Jagakarsa,PKBM 08 Tanjung Barat,P2966606,Jl.Nangka No.2,,
Jagakarsa,PKBM Alfa Husna,P2966604,Jl.Kelapa Hijau No.100 Rt.011/03 Jagakarsa,,
Cilandak,Media Amal Islami (MAI),P2966598,Lebak Bulus 5 No.34,,
Penjaringan,PKBM Mutiara Bagi Bangsa,P2966574,Pantai indah Timur,,
Cilincing,PKBM Hikmah Ainul Qori,P2966317,Jl.Tipar Cakung GG.H,,
Cilincing,PKBM Jaya Mandiri,P2966316,Jl.Sungai Tiram,,
Penjaringan,PKBM Negeri 17 Penjaringan,P2966315,Jl.Pluit Raya No.5,,
Tanjung Priok,PKBM Banyu Anyar,P2966314,Jl.Warakas II. No.13,,
Tanjung Priok,PKBM Cahaya Bangsa,P2966313,Jl. Benteng IX No.10 Rt.017/001,,
Cilincing,PKBM Karya Aksara,P2966309,Jl.Malaka IV HB No.53,,
Tanjung Priok,PKBM Al-Islamiyah,P2966307,Sunter Jaya VI No.16 Rt.006/009,,
Cilincing,PKBM Isyah,P2966306,Kali Baru Barat III,,
Tanjung Priok,PKBM Mekar Tanjung,P2966305,Warakas VIII No.40  Rt.013/08,,
Tanjung Priok,PKBM Remaja,P2966304,Jl.Papango 28 No.76 Rt.06/03,,
Penjaringan,PKBM Mutiara Hati,P2966303,Jl.K.No.35 GG.35 HH,,
Koja,PKBM JICT,P2966302,Jl.Plumpang 8 No.30,,
Cilincing,PKBM Jayakarta,P2966299,Jl.Sungai Barito No.141,,
Cilincing,PKBM Robiatul Adawiyah,P2966298,Sungai Tiram,,
Cilincing,Daar El Khair,P2966297,Jl.Kali Baru Timur No.3,,
Cilincing,PKBM Al-Anwariyah Idris,P2966296,Jl.Malaka I No.6 Rt.06/05 Rorotan Cilincing,,
Pademangan,PKBM Negeri 04 Pademangan,P2966295,Pademangan VI No.77,,
Penjaringan,PKBM Fathul Huda,P2966292,Jl.Kapuk Kamal Raya No.20,,
Kelapa Gading,PKBM Logos,P2966290,Jl.Gading Ayu I Blok RA 12/08,,
Koja,PKBM Himmata,P2966289,Jl. Plumpang B no.30,,
Kelapa Gading,PKBM Nur Attaqwa,P2966286,Jl.Terusan Kelapa Hybrida,,
Cilincing,PKBM Negeri 03 Cilincing,P2966171,Jl.Rekreasi No.3,,
Kelapa Gading,Ebeneser Christian Academy,P2966164,Jl.Boulevard Bukit Gading Raya Kokan Permata,,
Kelapa Gading,PKBMPutri Mandiri,P2966163,Jl.Bangun Cipta Raya Blok AVI,,
Kelapa Gading,Jobasdia Prasetia,P2966075,KTC Hipermall Lt.2 Blok 01-02,,
Kelapa Gading,Ehughe Schooling,P2966074,Jl.Gading Batavia LC09 No.33,,
Tanjung Priok,PKBM Graphe,P2966073,Jl.Danau Agung 2 No.5-7,,
Cempaka Putih,PKBM KPIN,P2965987,Jl.Percetakan Negera IX A,,
Menteng,PKBM Cikini,P2965986,Jlaleh No.30,,
Johar Baru,PKBM Matahati,P2965985,Jl.Tanah Tinggi XII,,
Menteng,PKBM Pelita Hati,P2965984,Jl.Talang Ujung,,
Kemayoran,PKBM Negeri 29 Cempaka Baru,P2965982,Jl.F3 Kompleks Listrik Serdang No.12,,
Senen,PKBM Nusantara,P2965979,Jl. Kembangan III,,
Senen,PKBM Winsor,P2965978,Jl.Kwitang Raya No.8 Gd.Sanatama Lt.3 Kwitang,,
Senen,PKBM Budaya,P2965976,Jl. Pramuka Jati No.17,,
Kemayoran,PKBM Taman Siswa,P2965975,Jl.Garuda No.25,,
Kemayoran,PKBM Neger i01 Kebon Kosong,P2965974,Jl.Bunderan Kebon Kosong No.25,,
Tanah Abang,PKBM Nurani Insani,P2965973,Jl.Petamburan III/4,,
Tanah Abang,PKBM Negeri 23 Kebon Melati,P2965972,Jl.KH.Mas Mansyur No.92,,
Tanah Abang,PKBM Negeri 02 Karet Tengsin,P2965971,Jl.Karet Pasar Baru Barat VII/17A,,
Johar Baru,PKBM Mutiara,P2965970,Jl.Johar Baru Utara V No.48,,
Cempaka Putih,PKBM PKBM Ristek Nusantara Jaya,P2965968,Jl.Percetakan Negara 7 No.1 Rt.011/01,,
Cempaka Putih,PKBM Negeri 16 Rawasari,P2965967,Jl. Rawa Sari Timur 1/I Jakarta Pusat,,
Sawah Besar,PKBM Al-Islah,P2965965,Jl.Laksana No.300,,
Sawah Besar,PKBM PANBI,P2965964,Jl.Mangga Besar XIII,,
Gambir,PKBM Negeri 15 Cideng,P2965963,Jl.Cimanuk No.3B Rt.016/01 Kel.Cideng,,
